1	1	0.5
2	1	3.5
2	12	5
2	19	5
2	23	5
2	40	4.5
2	48	1
2	49	3.875
2	59	5
2	66	5
2	71	0
2	76	5
2	84	5
2	99	4
2	105	5
2	106	3.5
3	1	5
4	1	1
5	1	1
6	1	5
7	1	1
8	1	3
9	1	1
10	1	4
11	1	4
12	1	3
12	84	5
12	96	2
13	1	1
14	1	1
15	1	1
16	1	3
16	19	5
16	49	1
16	53	4.95
16	54	1
16	57	1
16	90	4
16	93	3
16	99	4
16	106	5
16	112	5
16	113	1
17	1	1
17	23	5
17	25	3
17	40	3.8
17	53	5
17	66	5
17	76	5
17	95	5
17	113	1
18	1	1.5
18	48	1
18	99	1
18	116	1
19	1	1
20	1	2
20	23	5
20	40	3
20	48	5
20	49	3
20	54	3
20	95	5
20	112	5
21	1	1
21	40	0
21	80	1
21	92	1
21	110	3.5
22	1	3
22	40	5
22	49	5
22	57	3
22	63	5
22	95	5
22	96	2
22	110	5
22	112	4
23	1	5
24	1	1.357142857
24	4	1
24	12	5
24	23	5
24	25	2
24	40	1
24	48	1
24	49	4
24	76	5
24	106	4
24	112	5
24	116	5
25	1	5
26	1	1.65
26	12	5
26	23	3.5
26	27	5
26	49	4.5
26	53	5
26	59	5
26	66	5
26	93	1
26	96	3
26	99	5
26	119	5
27	1	1.333333333
27	4	1
27	12	5
27	15	0
27	19	4.5
27	39	1.5
27	48	1
27	49	3.8
27	53	5
27	59	5
27	66	5
27	84	0
27	96	3
27	110	5
27	112	5
27	113	2
27	119	5
28	1	1
28	49	5
28	66	5
29	1	4
30	1	4
31	1	1
31	12	5
31	19	3.5
31	25	3
31	48	3
31	49	2.5
31	80	1
31	96	1
32	1	1
33	1	5
34	1	3.666666667
34	25	0
34	66	5
34	76	5
34	80	3
34	92	2
34	96	2
34	99	3
35	1	3
36	1	2.166666667
36	4	1
36	49	1.5
36	54	1
36	66	5
36	92	2
36	96	4
36	110	3
36	113	5
36	116	5
37	1	3
38	1	1.333333333
38	4	1
38	7	5
38	48	1
38	57	1
38	76	5
38	99	1
38	112	5
39	1	1
40	1	1
41	1	2
41	23	5
41	25	4
41	39	1
41	40	3.5
41	41	2
41	48	2.666666667
41	49	2
41	57	1
41	59	5
41	71	5
41	76	5
41	90	3.5
41	93	4
41	96	3
41	99	4.5
41	106	2.5
41	110	1
41	112	3.666666667
41	113	1
42	1	3
42	49	5
43	1	1
44	1	5
45	1	4
46	1	1
47	1	2
47	66	5
47	76	5
48	1	1
49	1	2.95
49	59	5
49	71	4
50	1	1
50	53	5
51	1	5
52	1	1
53	1	3
54	1	1
54	119	1
55	1	1
56	1	2.5
56	12	5
56	23	5
56	48	3
56	49	4
56	53	5
56	54	1
56	59	5
56	66	5
56	76	5
56	96	1.5
56	99	5
56	106	3
57	1	2.375
57	39	1
57	40	3
57	66	5
57	90	5
57	99	1
57	110	4
57	112	5
57	119	1
58	1	3
59	1	1
59	116	1
60	1	1
61	1	2
62	1	1
63	1	3
64	1	1
65	1	5
66	1	3
66	23	5
66	49	5
66	76	5
67	1	5
68	1	3
69	1	3
70	1	5
71	1	3
71	25	1
71	39	1
71	40	3
71	49	4.75
71	57	5
71	96	4
71	99	1
71	113	1
72	1	1
73	1	0
74	1	3
